district_id,district_num,province_canonical,district_name_2000,admin_type,bps_code,multi_province_flag,notes
KALIMANTAN_TIMUR_PASIR,228,KALIMANTAN TIMUR,PASIR,,6401,False,DEPRECATED — same district as KALIMANTAN_TIMUR_PASER (227); all panel rows reassigned to 227 via name_corrections rename entry; renamed to Paser 2007; same code
KALIMANTAN_TIMUR_PENAJAM_PASER_UTARA,229,KALIMANTAN TIMUR,PENAJAM PASER UTARA,,6409,False,
KALIMANTAN_TIMUR_SAMARINDA,230,KALIMANTAN TIMUR,SAMARINDA,,6472,False,
KALIMANTAN_TIMUR_TARAKAN,231,KALIMANTAN TIMUR,TARAKAN,,6473,False,
KEPULAUAN_BANGKA_BELITUNG_BANGKA,232,KEPULAUAN BANGKA BELITUNG,BANGKA,,1901,True,appears under >1 province historically (pre/post province split); province_canonical verified against bps_code_reference.csv province-code prefix on 2026-09-17
KEPULAUAN_BANGKA_BELITUNG_BANGKA_BARAT,233,KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,,1903,False,
KEPULAUAN_BANGKA_BELITUNG_BANGKA_SELATAN,234,KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN,,1905,False,
KEPULAUAN_BANGKA_BELITUNG_BANGKA_TENGAH,235,KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,,1904,False,
KEPULAUAN_BANGKA_BELITUNG_BELITUNG,236,KEPULAUAN BANGKA BELITUNG,BELITUNG,,1902,True,appears under >1 province historically (pre/post province split); province_canonical verified against bps_code_reference.csv province-code prefix on 2026-09-17
KEPULAUAN_BANGKA_BELITUNG_BELITUNG_TIMUR,237,KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,,1906,False,
KEPULAUAN_BANGKA_BELITUNG_PANGKAL_PINANG,238,KEPULAUAN BANGKA BELITUNG,PANGKAL PINANG,,1971,True,appears under >1 province historically (pre/post province split); province_canonical verified against bps_code_reference.csv province-code prefix on 2026-09-17
KEPULAUAN_RIAU_BATAM,240,KEPULAUAN RIAU,BATAM,,2171,True,appears under >1 province historically (pre/post province split); province_canonical verified against bps_code_reference.csv province-code prefix on 2026-09-17
KEPULAUAN_RIAU_BINTAN,241,KEPULAUAN RIAU,BINTAN,,2102,False,
KEPULAUAN_RIAU_KARIMUN,242,KEPULAUAN RIAU,KARIMUN,,2101,True,appears under >1 province historically (pre/post province split); province_canonical verified against bps_code_reference.csv province-code prefix on 2026-09-17
KEPULAUAN_RIAU_NATUNA,243,KEPULAUAN RIAU,NATUNA,,2103,True,appears under >1 province historically (pre/post province split); province_canonical verified against bps_code_reference.csv province-code prefix on 2026-09-17
KEPULAUAN_RIAU_TANJUNG_PINANG,245,KEPULAUAN RIAU,TANJUNG PINANG,,2172,True,appears under >1 province historically (pre/post province split); province_canonical verified against bps_code_reference.csv province-code prefix on 2026-09-17
LAMPUNG_BANDAR_LAMPUNG,246,LAMPUNG,BANDAR LAMPUNG,,1871,False,
LAMPUNG_LAMPUNG_BARAT,247,LAMPUNG,LAMPUNG BARAT,,1804,False,
LAMPUNG_LAMPUNG_SELATAN,248,LAMPUNG,LAMPUNG SELATAN,,1801,False,
LAMPUNG_LAMPUNG_TENGAH,249,LAMPUNG,LAMPUNG TENGAH,,1802,False,
LAMPUNG_LAMPUNG_TIMUR,250,LAMPUNG,LAMPUNG TIMUR,,1807,False,
LAMPUNG_LAMPUNG_UTARA,251,LAMPUNG,LAMPUNG UTARA,,1803,False,
LAMPUNG_METRO,252,LAMPUNG,METRO,,1872,False,
LAMPUNG_TANGGAMUS,253,LAMPUNG,TANGGAMUS,,1806,False,
LAMPUNG_TULANG_BAWANG,254,LAMPUNG,TULANG BAWANG,,1805,False,
LAMPUNG_WAY_KANAN,255,LAMPUNG,WAY KANAN,,1808,False,
MALUKU_AMBON,256,MALUKU,AMBON,,8171,False,
MALUKU_BURU,257,MALUKU,BURU,,8104,False,
MALUKU_MALUKU_TENGAH,258,MALUKU,MALUKU TENGAH,,8101,False,
MALUKU_MALUKU_TENGGARA,259,MALUKU,MALUKU TENGGARA,,8102,False,
MALUKU_MALUKU_TENGGARA_BARAT,260,MALUKU,MALUKU TENGGARA BARAT,,8103,False,
MALUKU_UTARA_HALMAHERA_BARAT,261,MALUKU UTARA,HALMAHERA BARAT,,8201,False,
MALUKU_UTARA_HALMAHERA_TENGAH,262,MALUKU UTARA,HALMAHERA TENGAH,,8202,True,appears under >1 province historically (pre/post province split); province_canonical verified against bps_code_reference.csv province-code prefix on 2026-09-17
MALUKU_UTARA_MALUKU_UTARA,263,MALUKU UTARA,MALUKU UTARA,,8201,True,appears under >1 province historically (pre/post province split); province_canonical verified against bps_code_reference.csv province-code prefix on 2026-09-17; old Kab. Maluku Utara pre-province (1999); 8201=Halmahera Barat is designated successor
MALUKU_UTARA_TERNATE,264,MALUKU UTARA,TERNATE,,8271,False,
NUSA_TENGGARA_BARAT_BIMA_KAB,265,NUSA TENGGARA BARAT,BIMA,kabupaten,5206,False,
NUSA_TENGGARA_BARAT_BIMA_KOTA,266,NUSA TENGGARA BARAT,BIMA,kota,5272,False,
NUSA_TENGGARA_BARAT_DOMPU,267,NUSA TENGGARA BARAT,DOMPU,,5205,False,
NUSA_TENGGARA_BARAT_LOMBOK_BARAT,268,NUSA TENGGARA BARAT,LOMBOK BARAT,,5201,False,
NUSA_TENGGARA_BARAT_LOMBOK_TENGAH,269,NUSA TENGGARA BARAT,LOMBOK TENGAH,,5202,False,
NUSA_TENGGARA_BARAT_LOMBOK_TIMUR,270,NUSA TENGGARA BARAT,LOMBOK TIMUR,,5203,False,
NUSA_TENGGARA_BARAT_MATARAM,271,NUSA TENGGARA BARAT,MATARAM,,5271,False,
NUSA_TENGGARA_BARAT_SUMBAWA,272,NUSA TENGGARA BARAT,SUMBAWA,,5204,False,
NUSA_TENGGARA_TIMUR_ALOR,273,NUSA TENGGARA TIMUR,ALOR,,5307,False,
NUSA_TENGGARA_TIMUR_BELU,274,NUSA TENGGARA TIMUR,BELU,,5306,False,
NUSA_TENGGARA_TIMUR_ENDE,275,NUSA TENGGARA TIMUR,ENDE,,5311,False,
NUSA_TENGGARA_TIMUR_FLORES_TIMUR,276,NUSA TENGGARA TIMUR,FLORES TIMUR,,5309,False,
NUSA_TENGGARA_TIMUR_KUPANG_KAB,277,NUSA TENGGARA TIMUR,KUPANG,kabupaten,5303,False,
