id,nama_daerah_otonom_hasil_pemekaran,ibukota_hasil_pemekaran,uu_pembentukan,tentang,tggl_berlaku_uu,daerah_induk,wilayah_provinsi,luas_wilayah_induk,luas_wilayah_hasil_pemekaran,segmen_batas_daerah_otonom_hasil_pemekaran,jumlah_pddk_daerah_induk,jumlah_pddk_daerah_hasil_pemekaran,jumlah_kecamatan_daerah_otonom_hasil_pemekaran,jumlah_kelurahan_otonom_hasil_pemekaran,jumlah_desa_daerah_otonom_hasil_pemekaran,status_pembentukan,keterangan
166,KOTA GUNUNGSITOLI,LAHOMI,NO. 47 TAHUN 2008,Pembentukan Kota Gunungsitoli di Provinsi Sumatera Utara,26 November 2008,KABUPATEN NIAS,PROVINSI SUMATERA UTARA,1842.51,280.78,Kab. NiasKab. Nias Utara,153417,139545,6,3,98,INISIATIF DPR-RI,-
167,KABUPATEN LABUHANBATU UTARA,AEK KANOPAN,NO. 23 TAHUN 2008, Pembentukan Kabupaten Labuhanbatu Utara Di Provinsi Sumatera Utara,21 Juli 2008,KABUPATEN LABUHANBATU,PROVINSI SUMATERA UTARA,2156.02,3570.98,"Kab. Asahan
Kab. Padang Lawas Utara 
Kab. Labuhanbatu 
Kab. Tapanuli Selatan
Kab. Toba Samosir
Kab. Tapanuli Utara",501388,391729,8,8,82,INISIATIF DPR-RI,-
168,KABUPATEN LABUHANBATU SELATAN,KOTA PINANG,NO. 22 TAHUN 2008,Pembentukan Kabupaten Labuhanbatu Selatan di Provinsi Sumatera Utara,21 Juli 2008,KABUPATEN LABUHANBATU,PROVINSI SUMATERA UTARA,2156.02,3596,"Kab. Rokan Hilir (Prov. Riau)
Kab. Labuhanbatu 
Kab. Padang Lawas Utara ",501388,321374,5,2,52,INISIATIF DPR-RI,-
169,KABUPATEN PAKPAK BHARAT,SALAK,NO. 9 TAHUN 2003,"Pembentukan Kabupaten Nias Selatan, Kabupaten Pakpak Bharat, dan Kabupaten Humbang Hasundutan di Provinsi Sumatera Utara",25 Februari 2003,KABUPATEN DAIRI,PROVINSI SUMATERA UTARA,1927.8,1218.3,"Kota Subulussalam
Kab. Aceh Singkil
Kab. Humbang Hasundutan
Kab. Tapanuli Tengah
Kab. Dari
Kab. Samosir",315330,53832,8,-,52,INISIATIF DPR-RI,-
170,KABUPATEN BATU BARA,LIMA PULUH,NO. 5 TAHUN 2007, Pembentukan Kabupaten Batu Bara di Provinsi Sumatera Utara,2 Januari 2007,KABUPATEN ASAHAN,PROVINSI SUMATERA UTARA,3702.21,922.2,"Kab. Simalungun
Kab. Serdang Bedagai
Kab. Simalungun",782250,365515,12,10,141,-,-
171,KABUPATEN OGAN KOMERING ULU SELATAN,MUARA DUA,NO. 37 TAHUN 2003,"Pembentukan Kabupaten Ogan Komering Ulu Timur, Kabupaten Ogan Komering Ulu Selatan, Dan Kabupaten Ogan Ilir Di Provinsi Sumatera Selatan",8 Desember 2003,KABUPATEN OGAN KOMERING ULU,PROVINSI SUMATERA SELATAN,4797.06,5493.94,"Kab. Way Kanan (Prov. Lampung)
Kab. Lampung Barat (Prov. Lampung)
Kab. Pesisir Barat (Prov. Lampung)
Kab. Ogan Komering Ulu Timur
Kab. Ogan Komering Ulu 
Kab. Muara Enim",363885,414252,19,7,252,INISIATIF DPR-RI,-
172,KABUPATEN OGAN KOMERING ULU TIMUR,MARTAPURA,NO. 37 TAHUN 2003,"Pembentukan Kabupaten Ogan Komering Ulu Timur, Kabupaten Ogan Komering Ulu Selatan, Dan Kabupaten Ogan Ilir Di Provinsi Sumatera Selatan",8 Desember 2003,KABUPATEN OGAN KOMERING ULU,PROVINSI SUMATERA SELATAN,4797.06,3370,"Kab. Way Kanan (Prov. Lampung)
Kab. Ogan Komering Ilir
Kab. Ogan Ilir
Kab. Ogan Komering Ulu",363885,639112,20,7,305,INISIATIF DPR-RI,-
173,KABUPATEN OGAN ILIR,INDRALAYA,NO. 37 TAHUN 2003,"Pembentukan Kabupaten Ogan Komering Ulu Timur, Kabupaten Ogan Komering Ulu Selatan, Dan Kabupaten Ogan Ilir Di Provinsi Sumatera Selatan",8 Desember 2003,KABUPATEN OGAN KOMERING ILIR,PROVINSI SUMATERA SELATAN,18359.04,2666.09,"Kota Palembang
Kota Prabumulih
Kab. Banyuasin
Kab. Ogan Komering Ulu Timur
Kab. Muara Enim
Kab. Ogan Komering Ulu 
Kab. Ogan Komering ilir",727789,409310,16,14,227,INISIATIF DPR-RI,-
174,KABUPATEN NIAS BARAT,ONOLIMBU,NO. 46 TAHUN 2008,Pembentukan Kabupaten Nias Barat di Provinsi Sumatera Utara,26 November 2008,KABUPATEN NIAS,PROVINSI SUMATERA UTARA,1842.51,473.73,Kab. Nias SelatanKab. NiasKab. Nias Utara,153417,95330,8,0,105,INISIATIF DPR-RI,-
175,KABUPATEN SAMOSIR,PANGURURAN,NO. 36 TAHUN 2003,Pembentukan Kabupaten Samosir dan Kabupaten Serdang Bedagai Di Provinsi Sumatera Utara,18 Desember 2003,KABUPATEN TOBA SAMOSIR,PROVINSI SUMATERA UTARA,2328.89,2069.05,"Kab. Humbang Hasundutan
Kab. Pakpak Bharat  
Kab. Dairi",211042,142812,9,6,128,INISIATIF DPR-RI,-
176,KABUPATEN HUMBANG HASUNDUTAN,DOLOK SANGGUL,NO. 9 TAHUN 2003,"Pembentukan Kabupaten Nias Selatan, Kabupaten Pakpak Bharat, dan Kabupaten Humbang Hasundutan di Provinsi Sumatera Utara",25 Februari 2003,KABUPATEN TAPANULI UTARA,PROVINSI SUMATERA UTARA,3791.64,2335.33,"Kab. Tapanuli Tengah  (Prov.  Sumatera Utara)
Kab. Tapanuli Utara (Prov.  Sumatera Utara)
Kab. Samosir
Kab. Pakpak bharat",315947,199424,10,1,153,INISIATIF DPR-RI,-
177,KABUPATEN SERDANG BEDAGAI,SEI RAMPAH,NO. 36 TAHUN 2003,Pembentukan Kabupaten Samosir dan Kabupaten Serdang Bedagai Di Provinsi Sumatera Utara,18 Desember 2003,KABUPATEN DELI SERDANG,PROVINSI SUMATERA UTARA,2241.68,1900.22,"Kab. Deli Serdang
Kab. Batubara
Kota Tebing Tinggi
Kab. Simalungun",1815357,656419,17,6,237,INISIATIF DPR-RI,-
178,KOTA LUBUK LINGGAU,-,NO. 7 TAHUN 2001,Pembentukan Kota Lubuk Linggau,21 Juni 2001,KABUPATEN MUSI RAWAS,PROVINSI SUMATERA SELATAN,6350.1,401.5,"Kab. Rejang Lebong
Kab. Musi Rawas",408816,224032,8,72,-,PENINGKATAN STATUS DARI KOTA ADMINISTRATIF MENJADI KOTA OTONOM,-
179,KABUPATEN SUMBAWA BARAT,TALIWANG,NO. 30 TAHUN 2003,Pembentukan Kabupaten Sumbawa Barat Di Provinsi Nusa Tenggara Barat,18 Desember 2003,KABUPATEN SUMBAWA,PROVINSI NUSA TENGGARA BARAT,6643.98,1849.02,Kab Sumbawa,514063,139448,8,7,57,INISIATIF DPR-RI,-
180,KABUPATEN MUSI RAWAS UTARA,MUARA RUPIT,NO. 16 TAHUN 2013,Pembentukan Kabupaten Musi Rawas Utara di Provinsi Sumatera Selatan,10 Juli 2013,KABUPATEN MUSI RAWAS,PROVINSI SUMATERA SELATAN,6350.1,6008.55,"Kab. Lebong (Prov. Bengkulu)
Kab. Sorolangun dan Kab. Merangin (Prov. Jambi)
Kab. Musi Banyuasin (Prov. Sumatera Selatan)
Kab. Musi Rawas",408816,192164,7,7,82,INISIATIF DPR-RI,-
181,KABUPATEN PENUKAL ABAB LEMATANG ILIR,TALANG UBI,NO. 7 TAHUN 2013,Pembentukan Kabupaten Penukal Abab Lematang Ilir di Provinsi Sumatera Selatan,11 Januari 2013,KABUPATEN MUARA ENIM,PROVINSI SUMATERA SELATAN,7383.9,1840,"Kab. Banyuasin (Prov. Sumatera Selatan)
Kota Prabumulih (Prov. Sumatera Selatan)
Kab. Musi Rawas (Prov. Sumatera Selatan)
Kab. Musi Banyuasin (Prov. Sumatera Selatan)
Kab. Muara Enim (Prov. Sumatera Selatan)",576105,177111,5,6,65,INISIATIF DPR-RI,-
182,KABUPATEN MINAHASA SELATAN,KOTA AMURANG,NO. 10 TAHUN 2003,Pembentukan Kabupaten Minahasa Selatan dan Kota Tomohon di Provinsi Sulawesi Utara,25 Februari 2003,KABUPATEN MINAHASA,PROVINSI SULAWESI UTARA,1114.87,1409.97,"Kab. Bolaang Mongondow
""Kab. Minahasa, 
Kab. Minahasa Tenggara""
Kab. Bolaang Mongondow Timur",340392,237962,17,10,167,INISIATIF DPR-RI,-
183,KABUPATEN BOLAANG MONGONDOW SELATAN,BOLAANG UKI,NO. 30 TAHUN 2008,Pembentukan Kabupaten Bolaang Mongondow Selatan Di Provinsi Sulawesi Utara,21 Juli 2008,KABUPATEN BOLAANG MONGONDOW,PROVINSI SULAWESI UTARA,2871.65,1615.86,"Kab Bolaang Mongondow
Kab. Bolaang Mongondow Utara
Kab. Bone Bolango
Kab. Bolaang Mongondow Timur",249803,70901,7,-,81,INISIATIF DPR-RI,-
184,KABUPATEN KOLAKA TIMUR,TIRAWUTA.,NO. 8 TAHUN 2013, Pembentukan Kabupaten Kolaka Timur di Provinsi Sulawesi Tenggara,11 Januari 2013,KABUPATEN KOLAKA,PROVINSI SULAWESI TENGGARA,3283.59,3634.74,"Kab. Kolaka Utara Prov. Sulawesi Tenggara 
Kab. Kolaka Prov. Sulawesi Tenggara 
Kab. Bombana Prov. Sulawesi Tenggara
Kab. Konawe Prov. Sulawesi Tenggara ",233161,123042,12,16,117,INISIATIF DPR-RI,-
185,KABUPATEN TOJO UNA UNA,AMPANA KOTA,NO. 32 TAHUN 2003,Pembentukan Kabupaten Tojo Una-Una Di Provinsi Sulawesi Tengah,18 Desember 2003,KABUPATEN POSO,PROVINSI SULAWESI TENGAH,7112.25,5721.15,"Kab Poso
Kab Banggai
Kab Marowali Utara",246270,163068,12,12,134,INISIATIF DPR-RI,-
186,KABUPATEN BUOL,KOTA BUOL,NO. 51 TAHUN 1999,"Pembentukan Kabupaten Buol, Kabupaten Morowali, dan Kabupaten Banggai Kepulauan",4 Oktober 1999,KABUPATEN BUOL TOLI-TOLI,PROVINSI SULAWESI TENGAH,4079.77,4043.57,"Kab. Toli-Toli
Kab. Pahuwato
Kab. Gorontalo Utara
Kab. Parigi Moutong",217241,139743,11,7,108,-,Daerah Induk Kabupaten Buol Tolitoli dimekarkan berdasarkan UU No. 51 Tahun 1999 menjadi dua kabupaten yaitu Kabupaten Tolitoli sebagai kabupaten induk dan Kabupaten Buol sebagai kabupaten hasil pemekaran
187,KABUPATEN PELALAWAN,PANGKALAN KERINCI,NO. 53 TAHUN 1999,"Pembentukan Kabupaten Pelalawan, Kabupaten Rokan Hulu, Kabupaten Rokan Hilir, Kabupaten Siak, Kabupaten Karimun, Kabupaten Natuna, Kabupaten Kuantan Singingi, dan Kota Batam",4 Oktober 1999,KABUPATEN KAMPAR,PROVINSI RIAU,10983.47,12758.45,"Kab. Kuantan Singingi
Kab. Indragiri Hulu
Kab. Kampar
Kota Pekan Baru
Kab. Indragiri Hilir
Kab. Siak",748956,369048,12,14,104,-,-
188,KABUPATEN RAJA AMPAT,WAISAI,NO. 26 TAHUN 2002,"Pembentukan Kabupaten Sarmi, Kabupaten Keerom,Kabupaten Sorong Selatan, Kabupaten Raja Ampat,Kabupaten Pegunungan Bintang, Kabupaten Yahukimo,Kabupaten Tolikara, Kabupaten Waropen,Kabupaten Kaimana, Kabupaten Boven Digoel, KabupatenMappi, Kabupaten Asmat,",11 Desember 2002,KABUPATEN SORONG,PROVINSI PAPUA BARAT,6544.23,8034.44,Kab. Sorong,122431,65339,24,4,117,-,-
189,KABUPATEN KAIMANA,KAIMANA,NO. 26 TAHUN 2002,"Pembentukan Kabupaten Sarmi, Kabupaten Keerom,Kabupaten Sorong Selatan, Kabupaten Raja Ampat,Kabupaten Pegunungan Bintang, Kabupaten Yahukimo,Kabupaten Tolikara, Kabupaten Waropen,Kabupaten Kaimana, Kabupaten Boven Digoel, KabupatenMappi, Kabupaten Asmat,",11 Desember 2002,KABUPATEN FAK FAK,PROVINSI PAPUA BARAT,14320,16241.84,"Kab. Teluk Bintuni
Kab. Teluk Wondama
Kab. Fak-Fak
Kab. Dogiyai - Prov. Papua
Kab. Nabire - Prov. Papua 
Kab. Mimika - Prov. Papua ",87024,63843,7,2,84,-,-
190,KABUPATEN BOVEN DIGOEL,TANAHMERAH,NO. 26 TAHUN 2002,"Pembentukan Kabupaten Sarmi, Kabupaten Keerom,Kabupaten Sorong Selatan, Kabupaten Raja Ampat,Kabupaten Pegunungan Bintang, Kabupaten Yahukimo,Kabupaten Tolikara, Kabupaten Waropen,Kabupaten Kaimana, Kabupaten Boven Digoel, KabupatenMappi, Kabupaten Asmat,",11 Desember 2002,KABUPATEN MERAUKE,PROVINSI PAPUA,44071,27108,"Kab. Yahukimo
Kab. Pegunungan Bintang
Kab. Asmat
Kab. Mappi
Kab. Marauke",225098,62722,20,-,112,-,-
191,KABUPATEN MAMBERAMO TENGAH,KOBAKMA,NO. 3 TAHUN 2008,Pembentukan Kabupaten Mamberamo Tengah Di Provinsi Papua,4 Januari 2008,KABUPATEN JAYAWIJAYA,PROVINSI PAPUA,7030.66,1275,"Kab. Sarmi
Kab. Tolikara
Kab. Yalimo
Kab. Jayawijaya
Kab. Lanny Jaya",271341,47825,5,-,59,INISIATIF DPR-RI,-
192,KABUPATEN YAHUKIMO,"SUMOHAI (DE JURE), DEKAI (DE FACTO)",NO. 26 TAHUN 2002,"Pembentukan Kabupaten Sarmi, Kabupaten Keerom,Kabupaten Sorong Selatan, Kabupaten Raja Ampat,Kabupaten Pegunungan Bintang, Kabupaten Yahukimo,Kabupaten Tolikara, Kabupaten Waropen,Kabupaten Kaimana, Kabupaten Boven Digoel, KabupatenMappi, Kabupaten Asmat,",11 Desember 2002,KABUPATEN JAYAWIJAYA,PROVINSI PAPUA,7030.66,17152,"Kab. Jayapura
Kab. Yalimo
Kab. Jayawijaya
Kab. Nduga
Kab. Pegunungan Bintang
Kab. Asmat
 Kab. Doven Digoel",271341,353112,51,1,510,-,-
193,KABUPATEN SERAM BAGIAN TIMUR,"DATARAN HUNIMOA (DE JURE), BULA (DE FACTO)",NO. 40 TAHUN 2003,"Pembentukan Kabupaten Seram Bagian Timur, Kabupaten Seram Bagian Barat, dan Kabupaten Kepulauan Aru di Provinsi Maluku",18 Desember 2003,KABUPATEN MALUKU TENGAH,PROVINSI MALUKU,7953.81,6429.88,Kab. Maluku Tengah,424952,134410,15,-,198,INISIATIF DPR-RI,-
194,KABUPATEN KARIMUN,TANJUNG BALAI KARIMUN,NO. 53 TAHUN 1999,"Pembentukan Kabupaten Pelalawan, Kabupaten Rokan Hulu, Kabupaten Rokan Hilir, Kabupaten Siak, Kabupaten Karimun, Kabupaten Natuna, Kabupaten Kuantan Singingi, dan Kota Batam",4 Oktober 1999,KABUPATEN BINTAN,PROVINSI KEPULAUAN RIAU,1318.21,912.75,Tidak ada batas darat,154964,247896,12,29,42,-,-
195,KABUPATEN TANA TIDUNG,TIDENG PALE,NO. 34 TAHUN 2007,Pembentukan Kabupaten Tana Tidung Di Provinsi Kalimantan Timur,10 Agustus 2007,KABUPATEN BULUNGAN,PROVINSI KALIMANTAN UTARA,13925.72,4828.58,"Kab. Bulungan 
Kab. Nunukan 
Kab. Malinau ",136619,24190,5,-,32,INISIATIF DPR-RI,-
196,KABUPATEN KUTAI BARAT,SENDAWAR,NO. 47 TAHUN 1999,"Pembentukan Kabupaten Nunukan, Kabupaten Malinau, Kabupaten Kutai Barat, Kabupaten Kutai Timur, dan Kota Bontang",04 Oktober 1999,KABUPATEN KUTAI,PROVINSI KALIMANTAN TIMUR,23601.91,20381.59,"Kab. Barito Utara Prov. Kalimantan Tengah 
Kab. Paser 
Kab. Penajam Paser Utara 
Kab. Mahakam Ulu 
Kab. Kutai Kartanegara ",677755,162200,16,4,190,-,Perubahan Nama Daerah Induk berdasarkan PP No. 8 Tahun 2002 tentang Perubahan Nama Kabupaten Kutai menjadi Kabupaten Kutai Kartanegara
197,KABUPATEN LANDAK,NGABANG,NO. 55 TAHUN 1999,Pembentukan Kabupaten Landak,04 Oktober 1999,KABUPATEN PONTIANAK,PROVINSI KALIMANTAN BARAT,2797.88,8915.1,"Kab. Mempawah
Kab. Sanggau 
Kab. Kubu Raya
Kab. Bengkayang ",304795,399421,13,-,156,-,Perubahan Nama Daerah Induk berdasarkan PP No. 58 Tahun 2014 tentang Perubahan Nama Kabupaten Pontianak menjadi Kabupaten Mempawah di Provinsi Kalimantan Barat
198,KABUPATEN BARITO TIMUR,TAMIANG LAYANG,NO. 5 TAHUN 2002,"Pembentukan Kabupaten Katingan, Kabupaten Seruyan, Kabupaten Sukamara, Kabupaten Lamandau, Kabupaten Gunung Mas, Kabupaten Pulang Pisau, Kabupaten Murung Raya, Dan Kabupaten Barito Timur Di Provinsi Kalimantan Tengah",10 April 2002,KABUPATEN BARITO SELATAN,PROVINSI KALIMANTAN TENGAH,8830,3834,Kab. Barito SelatanKab. TabalongKab. Hulu Sungai Utara Prov. Kalimantan Selatan,127757,113385,10,3,100,-,-
199,KABUPATEN TULANG BAWANG BARAT,PANARAGAN,NO. 50 TAHUN 2008,Pembentukan Kabupaten Tulang Bawang Barat di Provinsi Lampung,26 November 2008,KABUPATEN TULANG BAWANG,PROVINSI LAMPUNG,3466.32,1201,Kab. Ogan Komering Ilir (Prov. Sumatera Selatan) Kab. Way KananKab. Tulang BawangKab. MesujiKab. Lampung UtaraKab. Lampung Tengah,423401,273724,9,3,93,INISIATIF DPR-RI,-
200,KABUPATEN TANJUNG JABUNG TIMUR,MUARA SABAK,NO. 54 TAHUN 1999,"Pembentukan Kabupaten Sarolangun, Kabupaten Tebo, Kabupaten Muaro Jambi, dan Kabupaten Tanjung Jabung Timur",04 Oktober 1999,KABUPATEN TANJUNG JABUNG BARAT,PROVINSI JAMBI,4649.85,5445,"Kab. Banyuasin
Kab. Muaro Jambi
Kab. Tanjung Jabung Barat",324332,226390,11,20,73,-,-
201,KABUPATEN SAROLANGUN,SAROLANGUN,NO. 54 TAHUN 1999,"Pembentukan Kabupaten Sarolangun, Kabupaten Tebo, Kabupaten Muaro Jambi, dan Kabupaten Tanjung Jabung Timur",04 Oktober 1999,KABUPATEN SAROLANGUN BANGKO ,PROVINSI JAMBI,7679,6184,"Kab. Tebo
Kab. Batanghari
Kab. Musi Banyuasin
Kab. Musi Rawas Utara
Kab. Merangin",339247,317317,10,9,149,-,"Perubahan nama daerah induk Kabupaten Sarolangun Bangko menjadi Kabupaten Merangin berdasarkan Pasal 8 ayat (1)  UU  No. 54 Tahun 1999 tentang Pembentukan Kabupaten Sarolangun, Kabupaten Tebo, Kabupaten Muaro Jambi, dan Kabupaten Tanjung Jabung Timur"
202,KABUPATEN BELITUNG TIMUR,-,NO. 5 TAHUN 2003,"Pembentukan Kabupaten Bangka Selatan, Kabupaten Bangka Tengah, Kabupaten Bangka Barat, dan Kabupaten Belitung Timur",25 Februari 2003,KABUPATEN BELITUNG,PROVINSI BANGKA BELITUNG,2293.61,2506.91,Kab. Belitung,169053,124079,7,-,39,INISIATIF DPR-RI,-
